Month,TrueMonthlyAvg,PredMonthlyAvg,Difference
1,33.96324386021506,29.68738325315137,4.275860607063688
2,63.79719904523811,57.276810558140276,6.520388487097833
3,78.65645627096775,73.25192634713265,5.404529923835099
4,93.32603784222223,89.35390922764937,3.972128614572867
5,107.2068488795699,106.32872090051251,0.8781279790573961
6,129.07493047111114,131.7028695245584,2.6279390534472498
7,119.16656460215057,123.12432746233479,3.957762860184218
8,102.69659281505379,104.88323666953272,2.1866438544789304
9,85.21098005333334,85.21826083540917,0.007280782075824277
10,80.04525805591399,77.58710098151238,2.458157074401612
11,52.55280249333334,48.93047195672989,3.6223305366034495
12,39.082086812903235,34.473073529812595,4.60901328309064
